team,player,durationOn,durationOff,absPlusMinusOn,absPlusMinusOff,perPlusMinusOn,perPlusMinusOff,relAbsPlusMinus,relPerPlusMinus
Magpies,M.Lind,20.566666666666666,39.45,6,-18,4.376012965964344,-6.844106463878327,24,11.220119429842672
Magpies,S.Nelson,279.3,20.833333333333332,-11,-14,-0.5907626208378088,-10.080000000000002,3,9.489237379162192
Firebirds,G.Simpson,284.8833333333333,20.216666666666665,6,-10,0.3159187971684315,-7.419620774938169,16,7.7355395721066005
Swifts,E.Burgess,20.966666666666665,39.05,10,-1,7.154213036565978,-0.38412291933418696,11,7.538335955900165
Fever,S.Glasgow,169.35,130.73333333333332,61,-15,5.403011514614703,-1.721060683324834,76,7.124072197939537
Lightning,C.Koenen,262.81666666666666,37.36666666666667,19,-13,1.084406113260194,-5.218554861730598,32,6.302960974990793
Fever,S.Francis,208.23333333333332,91.86666666666666,54,-8,3.889867136225388,-1.3062409288824384,62,5.196108065107826
Firebirds,R.Aiken,252.58333333333334,52.666666666666664,9,-13,0.534477070273837,-3.7025316455696196,22,4.237008715843457
Thunderbirds,S.Gooden,141.15,99.01666666666667,-7,-30,-0.7438894792773646,-4.544689446221175,23,3.80079996694381
Vixens,A.Smith,123.66666666666667,176.51666666666668,-6,-37,-0.7277628032345013,-3.144179019922576,31,2.4164162166880745
Lightning,M.Cassidy,265.65,34.45,10,-4,0.564652738565782,-1.741654571843251,14,2.306307310409033
Swifts,M.Proud,168.1,17.033333333333335,6,-2,0.5353955978584176,-1.7612524461839532,8,2.296648044042371
Vixens,H.Mundy,239.53333333333333,60.53333333333333,-27,-16,-1.6907876426384638,-3.9647577092511015,-11,2.2739700666126375
Magpies,J.Newton,99.1,141.01666666666668,-5,-24,-0.756811301715439,-2.5528897293464134,19,1.7960784276309745
Magpies,K.Browne,279.21666666666664,20.85,-21,-4,-1.1281561511371099,-2.8776978417266186,-17,1.7495416905895087
Magpies,G.Sinclair,267.96666666666664,32.13333333333333,-19,-6,-1.0635651200398057,-2.800829875518672,-13,1.7372647554788663
Thunderbirds,S.Van Der Merwe,192.23333333333332,107.88333333333334,-17,-21,-1.3265129183284203,-2.919820794067665,4,1.5933078757392447
Vixens,E.Mannix,148.8,91.35,-23,-22,-2.318548387096774,-3.6124794745484405,-1,1.2939310874516665
Firebirds,G.Bueta,238.8,66.66666666666667,1,-5,0.06281407035175879,-1.125,6,1.1878140703517588
Swifts,L.Moore,225.21666666666667,79.93333333333334,13,-1,0.8658329016502626,-0.18765638031693077,14,1.0534892819671935
Lightning,M.McAuliffe,243.73333333333332,56.416666666666664,7,-1,0.43079868708971547,-0.2658788774002954,8,0.696677564490011
Thunderbirds,M.Garrett,281.96666666666664,18.1,-35,-3,-1.8619222130275443,-2.486187845303867,-32,0.6242656322763227
Firebirds,J.Mi Mi,149.6,155.71666666666667,1,-5,0.10026737967914437,-0.4816440115594562,6,0.5819113912386006
Fever,S.Aryang,223.4,76.68333333333334,36,10,2.417188898836168,1.956096500760704,26,0.461092398075464
Thunderbirds,L.Wilson,52.78333333333333,187.36666666666667,-7,-30,-1.9892642879696874,-2.4017078811599357,23,0.41244359319024837
Swifts,T.Fraser,62.1,117.96666666666667,0,-3,0.0,-0.38146369030799665,3,0.38146369030799665
Vixens,K.Dehaney,151.35,148.8,-20,-23,-1.9821605550049552,-2.318548387096774,3,0.3363878320918188
