team,GS,GA,WA,C,WD,GD,GK,duration,absPlusMinus,per15PlusMinus
Swifts,S.Wallace,S.Garbin,N.Haythornthwaite,M.Proud,P.Hadley,L.Moore,S.Klau,15.783333333333333,8,7.602956705385428
Fever,J.Fowler,S.Glasgow,E.Cosh,V.Charles,J.Anstiss,S.Francis,C.Bruce,39.88333333333333,20,7.521938988717092
Swifts,S.Wallace,H.Housby,T.Fraser,P.Hadley,E.Burgess,M.Turner,S.Klau,20.95,10,7.159904534606206
GIANTS,S.Dwyer,J.Harten,M.Hay,J.Price,A.Parmenter,A.Brandley,S.Poolman,15.0,7,7.0
Vixens,M.Kumwenda,R.Samason,H.Mundy,K.Moloney,A.Smith,J.Weston,K.Dehaney,24.916666666666668,11,6.622073578595317
Fever,J.Fowler,S.Glasgow,E.Cosh,J.Anstiss,S.Francis,S.Aryang,C.Bruce,23.583333333333332,9,5.724381625441697
Fever,J.Fowler,S.Glasgow,V.Charles,J.Anstiss,S.Francis,S.Aryang,C.Bruce,76.18333333333334,29,5.709910304091008
Firebirds,R.Aiken,G.Bueta,J.Mi Mi,K.Ravaillion,G.Simpson,K.Jenner,T.Hinchliffe,37.483333333333334,13,5.202312138728323
Vixens,M.Kumwenda,R.Barkmeyer,H.Mundy,K.Moloney,A.Smith,J.Weston,E.Mannix,15.0,5,5.0
GIANTS,J.Harten,S.Dwyer,M.Hay,J.Price,M.McDonell,A.Brandley,S.Poolman,18.2,5,4.120879120879121
GIANTS,J.Harten,S.Dwyer,M.Hay,J.Price,A.Sligar,A.Brandley,S.Poolman,22.766666666666666,6,3.9531478770131776
Vixens,R.Barkmeyer,M.Kumwenda,K.Moloney,A.Smith,K.Eddy,J.Weston,E.Mannix,15.65,4,3.8338658146964857
Lightning,C.Koenen,S.Wood,L.Scherian,M.Cassidy,K.Pretorius,K.Shimmin,P.Maweni,16.533333333333335,4,3.6290322580645156
Firebirds,R.Aiken,G.Bueta,L.Dunkley,K.Ravaillion,G.Simpson,K.Jenner,R.Ellis,19.466666666666665,4,3.082191780821918
Fever,J.Fowler,S.Glasgow,E.Cosh,V.Charles,J.Anstiss,S.Aryang,C.Bruce,15.1,3,2.980132450331126
GIANTS,J.Harten,S.Dwyer,M.Hay,J.Price,A.Parmenter,A.Brandley,S.Poolman,107.86666666666666,21,2.920271940667491
Swifts,S.Wallace,H.Housby,M.Proud,P.Hadley,L.Moore,M.Turner,S.Klau,61.7,12,2.917341977309562
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Parmenter,A.Brandley,S.Poolman,19.816666666666666,3,2.2708158116063917
Swifts,S.Wallace,H.Housby,T.Fraser,P.Hadley,L.Moore,M.Turner,S.Klau,19.0,2,1.5789473684210527
