team,player,durationOn,durationOff,absPlusMinusOn,absPlusMinusOff,perPlusMinusOn,perPlusMinusOff,relAbsPlusMinus,relPerPlusMinus
Firebirds,R.Aiken,822.2333333333333,20.333333333333332,-23,-19,-0.41958892447399365,-14.016393442622952,-4,13.596804518148959
Firebirds,T.Dwan,775.3333333333334,67.51666666666667,-2,-40,-0.03869303525365435,-8.886694643297954,38,8.8480016080443
Lightning,L.Langman,825.2,17.7,7,-10,0.12724188075618031,-8.474576271186441,17,8.601818151942622
GIANTS,K.Austin,812.8666666666667,29.566666666666666,8,-14,0.14762568686951533,-7.102593010146562,22,7.250218697016078
Lightning,P.Maweni,791.5666666666667,51.333333333333336,17,-20,0.3221459552785615,-5.844155844155844,37,6.166301799434406
Vixens,K.Moloney,808.25,34.53333333333333,110,-9,2.04144757191463,-3.9092664092664093,119,5.950713981181039
Vixens,J.Weston,818.6833333333333,24.316666666666666,106,-5,1.9421428716842082,-3.0843043180260454,111,5.026447189710254
Thunderbirds,T.Williams,107.71666666666667,193.61666666666667,20,-23,2.78508432616432,-1.781871395368856,43,4.566955721533176
Fever,J.Anstiss,806.8166666666667,35.78333333333333,73,-6,1.3571856472969905,-2.515137401024685,79,3.8723230483216757
Fever,V.Charles,793.25,49.25,74,-7,1.3993066498581785,-2.1319796954314723,81,3.531286345289651
Lightning,S.Wood,754.0166666666667,89.18333333333334,16,-19,0.3182953515616367,-3.195664361801533,35,3.5139597133631697
Firebirds,L.Dunkley,342.06666666666666,380.68333333333334,16,-65,0.701617618397973,-2.5611838360842345,81,3.2628014544822075
GIANTS,A.Parmenter,750.45,31.733333333333334,-3,-7,-0.059964021587047764,-3.3088235294117645,4,3.248859507824717
Thunderbirds,G.Horjus,700.8666666666667,142.68333333333334,1,-30,0.021402073623133268,-3.153837168555075,31,3.175239242178208
GIANTS,S.Poolman,712.25,130.15,17,-23,0.3580203580203581,-2.650787552823665,40,3.008807910844023
Thunderbirds,K.Shimmin,259.0,525.0,24,-52,1.38996138996139,-1.4857142857142858,76,2.8756756756756756
Fever,I.Colyer,413.0833333333333,129.35,44,-10,1.597740568892475,-1.1596443757247779,54,2.757384944617253
Firebirds,M.Cassidy,743.5833333333334,99.23333333333333,-21,-21,-0.4236243415891516,-3.1743365804501176,0,2.750712238860966
Firebirds,T.Hinchliffe,712.4,130.46666666666667,-16,-26,-0.33688938798427853,-2.9892692897291773,10,2.6523799017448986
Fever,A.Teague-Neeld,645.2,197.38333333333333,77,-10,1.7901425914445133,-0.7599425821160178,87,2.550085173560531
Vixens,K.Eddy,794.9833333333333,47.983333333333334,102,-1,1.9245686492379295,-0.3126085446335533,103,2.237177193871483
GIANTS,J.Harten,803.7333333333333,38.65,-1,-5,-0.018662906436629066,-1.9404915912031049,4,1.9218286847664758
Swifts,P.Hadley,739.1166666666667,105.58333333333333,23,-10,0.46677340068099304,-1.420678768745067,33,1.88745216942606
Fever,C.Bruce,649.2166666666667,72.21666666666667,75,0,1.7328575462737148,0.0,75,1.7328575462737148
GIANTS,M.Hay,552.4,229.8,7,-20,0.19007965242577843,-1.3054830287206265,27,1.495562681146405
Magpies,S.Nelson,634.7666666666667,147.13333333333333,-62,-28,-1.465105288032348,-2.8545536927956507,-34,1.3894484047633027
Vixens,E.Mannix,561.9333333333333,160.63333333333333,84,10,2.242258868193143,0.9338036937123884,74,1.3084551744807544
Swifts,M.Turner,342.93333333333334,199.66666666666666,2,-16,0.08748055987558322,-1.2020033388981632,18,1.2894838987737465
Thunderbirds,C.Blackman,22.6,97.43333333333334,0,-7,0.0,-1.077659938419432,7,1.077659938419432
Magpies,M.Jovic,596.1166666666667,126.58333333333333,-63,-22,-1.5852601560097297,-2.60697827518104,-41,1.0217181191713103
Magpies,T.Orr,108.53333333333333,131.86666666666667,-10,-21,-1.382063882063882,-2.3887765419615774,11,1.0067126598976954
Swifts,S.Garbin,405.56666666666666,439.46666666666664,19,-6,0.7027204734116872,-0.2047936893203883,25,0.9075141627320755
Vixens,T.Philip,483.8666666666667,298.9166666666667,68,26,2.1080187379443376,1.3047114580429333,42,0.8033072799014043
Vixens,C.Thwaites,656.1333333333333,187.08333333333334,86,15,1.9660638081690713,1.202672605790646,71,0.7633912023784253
Magpies,J.Ward,646.6333333333333,196.23333333333332,-71,-30,-1.6469921129955154,-2.2931883811788683,-41,0.6461962681833529
Swifts,S.Wallace,687.8,156.58333333333334,16,-3,0.3489386449549287,-0.28738690792974986,19,0.6363255528846785
Magpies,N.Allen,91.26666666666667,571.4,-7,-67,-1.1504747991234479,-1.7588379418970952,60,0.6083631427736473
