team,GS,GA,WA,C,WD,GD,GK,duration,absPlusMinus,per15PlusMinus
Swifts,S.Wallace,S.Garbin,N.Haythornthwaite,M.Proud,P.Hadley,L.Moore,S.Klau,15.783333333333333,8,7.602956705385428
Fever,J.Fowler,S.Glasgow,E.Cosh,V.Charles,J.Anstiss,S.Francis,C.Bruce,39.88333333333333,20,7.521938988717092
Fever,J.Fowler,S.Glasgow,E.Cosh,J.Anstiss,S.Francis,S.Aryang,C.Bruce,23.583333333333332,9,5.724381625441697
Vixens,M.Kumwenda,R.Barkmeyer,H.Mundy,K.Moloney,A.Smith,J.Weston,E.Mannix,15.0,5,5.0
Firebirds,R.Aiken,G.Bueta,J.Mi Mi,K.Ravaillion,G.Simpson,K.Jenner,T.Hinchliffe,20.783333333333335,6,4.330392943063352
GIANTS,J.Harten,S.Dwyer,M.Hay,J.Price,M.McDonell,A.Brandley,S.Poolman,18.2,5,4.120879120879121
GIANTS,J.Harten,S.Dwyer,M.Hay,J.Price,A.Sligar,A.Brandley,S.Poolman,22.766666666666666,6,3.9531478770131776
Vixens,R.Barkmeyer,M.Kumwenda,K.Moloney,A.Smith,K.Eddy,J.Weston,E.Mannix,15.65,4,3.8338658146964857
Lightning,C.Koenen,S.Wood,L.Scherian,M.Cassidy,K.Pretorius,K.Shimmin,P.Maweni,16.533333333333335,4,3.6290322580645156
GIANTS,J.Harten,S.Dwyer,M.Hay,J.Price,A.Parmenter,A.Brandley,S.Poolman,80.95,17,3.1500926497838173
Firebirds,R.Aiken,G.Bueta,L.Dunkley,K.Ravaillion,G.Simpson,K.Jenner,R.Ellis,19.466666666666665,4,3.082191780821918
GIANTS,J.Harten,S.Dwyer,M.Hay,J.Price,A.Parmenter,A.Brandley,M.McDonell,15.333333333333334,3,2.9347826086956523
Swifts,S.Wallace,H.Housby,M.Proud,P.Hadley,L.Moore,M.Turner,S.Klau,61.7,12,2.917341977309562
Lightning,C.Koenen,S.Wood,L.Scherian,M.Cassidy,M.McAuliffe,K.Pretorius,P.Maweni,106.88333333333334,19,2.6664587556525805
Firebirds,R.Aiken,T.Dwan,J.Mi Mi,K.Ravaillion,G.Simpson,K.Jenner,T.Hinchliffe,19.666666666666668,3,2.288135593220339
GIANTS,J.Harten,K.Austin,M.Hay,J.Price,A.Parmenter,A.Brandley,S.Poolman,19.816666666666666,3,2.2708158116063917
Firebirds,R.Aiken,G.Bueta,L.Dunkley,K.Ravaillion,G.Simpson,K.Jenner,T.Hinchliffe,49.516666666666666,5,1.5146415348367555
Thunderbirds,L.Potgieter,S.Gooden,E.McDonald,H.Petty,M.Nankivell,M.Garrett,S.Sterling,24.133333333333333,2,1.2430939226519337
Swifts,S.Wallace,H.Housby,N.Haythornthwaite,M.Proud,P.Hadley,M.Turner,S.Klau,42.9,-2,-0.6993006993006993
Vixens,K.Stanton,M.Kumwenda,K.Moloney,A.Smith,K.Eddy,J.Weston,K.Dehaney,19.583333333333332,-1,-0.7659574468085106
Fever,J.Fowler,A.Teague-Neeld,E.Cosh,V.Charles,J.Anstiss,S.Aryang,C.Bruce,62.06666666666667,-4,-0.9667024704618689
Magpies,S.Nelson,G.Sinclair,K.Browne,M.Jovic,A.Brazill,J.Ward,G.Mentor,83.43333333333334,-6,-1.0787055533359968
Vixens,M.Kumwenda,R.Barkmeyer,H.Mundy,K.Moloney,K.Eddy,J.Weston,K.Dehaney,26.316666666666666,-3,-1.7099430018999366
Thunderbirds,L.Potgieter,G.Horjus,M.Nankivell,H.Petty,S.Van Der Merwe,M.Garrett,S.Sterling,33.1,-5,-2.2658610271903323
Thunderbirds,L.Potgieter,S.Gooden,M.Nankivell,H.Petty,S.Van Der Merwe,M.Garrett,S.Sterling,16.45,-3,-2.735562310030395
Firebirds,G.Bueta,T.Dwan,J.Mi Mi,K.Ravaillion,G.Simpson,K.Jenner,T.Hinchliffe,15.1,-3,-2.980132450331126
Vixens,M.Kumwenda,K.Stanton,H.Mundy,K.Moloney,K.Eddy,J.Weston,K.Dehaney,15.0,-4,-4.0
Lightning,P.Proscovia,S.Wood,L.Scherian,M.Cassidy,M.McAuliffe,K.Pretorius,P.Maweni,21.783333333333335,-8,-5.508798775822494
Lightning,C.Koenen,S.Wood,B.Hunt,L.Scherian,K.Pretorius,K.Shimmin,P.Maweni,15.0,-6,-6.0
Vixens,M.Kumwenda,R.Barkmeyer,H.Mundy,K.Moloney,K.Eddy,J.Weston,E.Mannix,15.283333333333333,-7,-6.870229007633588
Vixens,M.Kumwenda,K.Stanton,H.Mundy,K.Moloney,K.Eddy,J.Weston,E.Mannix,33.4,-16,-7.185628742514971
